Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number
BOOT_BUTTON,23.97,108.91,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,159.97,6.55,90,100nF,EAGLE-LTSPICE_C0402,
C10,67.23,108.28,270,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,93.54,53.21,270,CPH3225A,CAPCP3225X100N,
C1_BAT,119.16,50.75,180,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,118.23,39.08,90,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT2,132.33,38.72,90,4.7uF,EAGLE-LTSPICE_C0402,
C2,158.87,6.55,90,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,132.15,50.75,270,4.7uF,EAGLE-LTSPICE_C0402,
C3,129.2,37.81,90,100uF TANT,RCL_CT3528,
C4,93.31,32.91,90,4.7uF/25V,EAGLE-LTSPICE_C0402,
C4_USB,156.24,45.83,180,100nF,EAGLE-LTSPICE_C0402,
C5,45.81,108.28,270,1uF,EAGLE-LTSPICE_C0402,
C5_USB,156.23,47.03,180,4.7uF,EAGLE-LTSPICE_C0402,
C6,20.73,108.28,270,100nF,EAGLE-LTSPICE_C0402,
C7,80.6,26.93,0,10uF,EAGLE-LTSPICE_C0402,
C8,91.17,52.89,90,100nF,EAGLE-LTSPICE_C0402,
C9,8.43,101.99,270,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,64.02,108.91,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,123.05,50.77,90,-,ADAFRUIT_CHIP-LED0603,
C_DELAY,52.49,104.83,270,100nF,EAGLE-LTSPICE_C0402,
D1,155.6,49.47,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,51.47,40.96,270,PGB1010603MR,DIOC1608X36N,
D11,49.87,40.98,270,PGB1010603MR,DIOC1608X36N,
D12,46.28,41.05,270,PGB1010603MR,DIOC1608X36N,
D2,119.92,39.14,90,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
